wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
4764,,OEL-13,,set,dry,
4787,,OEL-13,,set,dry,
4792,,OEL-124,,set,dry,
4794,,OEL-124,,set,dry,
4799,,OEL-124,,set,dry,
4803,,OEL-124,,set,dry,
4806,,OEL-124,,set,dry,
4807,,OEL-13,,set,dry,
4809,,OEL-124,,set,dry,
4811,,OEL-124,,set,dry,
4814,,OEL-13,,set,dry,
4821,,OEL-13,,set,dry,
4836,,OEL-13,,set,dry,
4839,,OEL-13,,set,dry,
4841,,OEL-13,,set,dry,
4843,,OEL-13,,set,dry,
4847,,OEL-13,,set,dry,
4876,,null,,null,dry,
4894,,OEL-13,,set,dry,
4896,,OEL-13,,set,dry,
4899,,OEL-13,,set,dry,
4931,,null,,null,dry,
4937,,OEL-124,,set,dry,
4988,,OEL-11,,set,dry,
5012,,OEL-11,,set,dry,
5020,,OEL-11,,set,dry,
5033,,OEL-11,,set,dry,
5040,,OEL-11,,set,dry,
5044,,OEL-11,,set,dry,
5057,,OEL-11,,set,dry,
5061,,OEL-11,,set,dry,
5063,,OEL-11,,set,dry,
5096,,OEL-12,,set,dry,
5108,,OEL-12,,set,dry,
5118,,OEL-12,,set,dry,
5129,,OEL-12,,set,dry,
5147,,OEL-12,,set,dry,
5149,,OEL-12,,set,dry,
5164,,OEL-12,,set,dry,
5170,,OEL-12,,set,dry,
5173,,OEL-12,,set,dry,
5175,,OEL-12,,set,dry,
5178,,OEL-12,,set,dry,
5193,,null,,null,dry,
5200,,OEL-14,,set,dry,
5213,,OEL-14,,set,dry,
5216,,OEL-14,,set,dry,
5247,,OEL-101,,set,dry,
5266,,OEL-35,,set,dry,
5272,,OEL-14,,set,dry,
5275,,OEL-14,,set,dry,
5287,,OEL-14,,set,dry,
5304,,OEL-14,,set,dry,
5313,,null,,null,dry,
5328,,OEL-14,,set,dry,
6518,,null,,null,dry,
5381,,OEL-8,,set,dry,
