id,slug,titolo,lang_current,lang_detected,action
06ede3fd-2d2b-4482-8515-021fa47b8d3a,dialogo-aperto-n-161,Dialogo aperto n. 161,it,it,ok_no_change
06f87b56-2a7b-494a-85e3-52023cc89d43,dalla-parte-di-lazzaro,Dalla parte di Lazzaro,it,it,ok_no_change
06f8f7d2-c7e9-413e-94d9-d5e25c0d5166,i-bambini-di-asperger,I bambini di Asperger,it,it,ok_no_change
0702e47c-7c4c-497a-a028-42295e05c287,maneggiare-con-cura-di-marco-bove-recensione,Maneggiare con cura di Marco Bove – Recensione,it,it,ok_no_change
071f81ec-da06-4a40-9b57-90061364f23d,noris,Noris,it,it,ok_no_change
0729a52b-a726-4dc1-a6b0-17ba1447fc7f,igor-o-limprevisto-di-dio,"Igor, o l’imprevisto di Dio",it,it,ok_no_change
07469439-9f51-4903-bff3-fb73cde6188d,imparo-a-vestirmi-da-solo,Imparo a vestirmi da solo,it,it,ok_no_change
074cba3a-2ce2-4cdb-86a8-f62753093e3c,lonore-di-un-lord,L’onore di un lord,it,it,ok_no_change
075d6272-7fdf-4e96-9309-579d85a67001,piovono-mucche-e-altri-nuovi-libri,Piovono mucche e altri nuovi libri,it,it,ok_no_change
076265cd-ba33-4f9c-ab7c-a4a78f7f87d4,one-more-jump,One more jump,it,it,ok_no_change
07729da3-ab95-4e13-a5db-9d378427fa10,perche-non-io,Perché non io?,it,it,ok_no_change
0778e3d9-ef86-4505-98bd-4c6cf0ee5129,testimoni-di-fede-e-luce,Testimoni di Fede e Luce!,it,it,ok_no_change
07934e5d-f1c1-4f7b-98fe-e5bfc683eb28,non-vede-non-sente-non-cammina-non-comunica,"Non vede, non sente, non cammina, non comunica",it,it,ok_no_change
07d76729-cad6-40f6-8c77-8935781b8581,forli-incontri-a-sostegno-di-genitori-di-figli-con-disabilit,Forlì: incontri a sostegno di genitori di figli con disabilità visiva,it,it,ok_no_change
07d7a7c3-7cda-43dd-a10e-f77c67f13da5,il-ciclo-e-la-macchinetta-a-scuola,Il ciclo e la macchinetta a scuola,it,it,ok_no_change
07ddf975-f5ae-4dd3-9bf2-3c2004d42152,genitori-speciali-zzati-servizio-di-consulenza-pedagogica-di,Genitori speciali...zzati. Servizio di consulenza pedagogica di trento,it,it,ok_no_change
